Drug Protein Probability
Bortezomib NR3C1 0.999894
Bortezomib GABRA1 0.99927634
Bortezomib HTR1B 0.93616503
Bortezomib SERPINB2 0.94995135
Bortezomib TOP1 0.90733826
Bortezomib AURKA 0.9259814
Bortezomib PDE4A 0.9775548
Bortezomib CDK7 0.9473028
Bortezomib CDK6 0.9226604
Bortezomib CHRNA7 0.9624461
Bortezomib GABRB1 0.913909
Bortezomib GABRB3 0.9705009
Bortezomib CACNA1D 0.95957947
Bortezomib KAT2B 0.9483498
Bortezomib GABRG3 0.9224938
Bortezomib AHR 0.9993198
Bortezomib PSMA2 0.99126303
Bortezomib PSMA3 0.98015976
Bortezomib PSMA7 0.9655538
Bortezomib PSMB4 0.9476263
Bortezomib PSMB7 0.9369815
Bortezomib PGK1 0.9657471
Phentermine DRD1 0.9836805
Phentermine CHRM1 0.98992014
Phentermine DRD5 0.96490586
Phentermine CHRM5 0.9025658
Phentermine PTGS2 0.9984126
Phentermine ADRA2A 0.9955711
Phentermine ADRA2C 0.9965514
Phentermine HTR2B 0.94953144
Phentermine HTR2A 0.91145235
Phentermine HTR2C 0.9916619
Phentermine KCNMA1 0.9222242
Phentermine CHRM2 0.9680162
Phentermine HMGCR 0.9396639
Phentermine GRIN3A 0.9274611
Phentermine TOP2A 0.9342868
Phentermine EGFR 0.93205833
Phentermine GABRA1 0.9869804
Phentermine NR1I2 0.91240263
Phentermine GABRG2 0.96556526
Tramadol DRD1 0.97593635
Tramadol KCNH2 0.9893666
Tramadol P2RY12 0.94032043
Tramadol DRD5 0.98999643
Tramadol ADRB1 0.9702045
Tramadol SCN5A 0.99795604
Tramadol PTGS2 0.9949345
Tramadol ADRA2A 0.97145766
Tramadol HTR3A 0.9579212
Tramadol ADRA2C 0.92907625
Tramadol HTR2A 0.9706035
Tramadol PDE4B 0.95270085
Tramadol CHRM2 0.99356467
Tramadol SLC6A3 0.94359654
Tramadol ADRA1D 0.9875515
Tramadol DRD2 0.9606291
Tramadol NR3C1 0.9927176
Tramadol GABRA1 0.99143475
Tramadol ADORA2A 0.96709776
Tramadol GABRB3 0.9685308
Tramadol GABRG3 0.9872405
Tramadol GABRD 0.9697174
Betaxolol GABRR1 0.96620417
Betaxolol PPARG 0.9447221
Betaxolol SLC6A2 0.9960736
Betaxolol HTR2C 0.94656366
Betaxolol TOP2A 0.95575976
Betaxolol GABRG3 0.99195874
Troglitazone NR0B1 0.99780506
Troglitazone ESR1 0.9746475
Troglitazone TYMS 0.9498711
Troglitazone HTR2B 0.95151514
Troglitazone CALM1 0.9365316
Troglitazone PGR 0.90315294
Troglitazone ADRA2B 0.9937483
Troglitazone TSPO 0.9175318
Troglitazone NR3C1 0.9866605
Troglitazone AHR 0.96618783
Oseltamivir PTGS1 0.990802
Oseltamivir CHRM3 0.93155664
Oseltamivir SLC6A2 0.9757513
Oseltamivir SLC6A4 0.965734
Oseltamivir NR3C1 0.99313736
Oseltamivir SMPD1 0.9001647
Oseltamivir CYP19A1 0.95257
Oseltamivir MAOB 0.91791695
Oseltamivir GABRG1 0.9006259
Erythromycin SLC12A1 0.9234566
Erythromycin HTR1B 0.94074297
Erythromycin DPP4 0.95758814
Hydroxocobalamin HTR2B 0.9883161
Hydroxocobalamin GABRA4 0.9479855
Hydroxocobalamin SLC6A2 0.98980546
Hydroxocobalamin HTR2C 0.9006812
Hydroxocobalamin NR3C1 0.9246444
Caffeine CHRM3 0.944974
Caffeine HRH2 0.97676873
Caffeine HTR2A 0.9357397
Caffeine GABRA3 0.99768233
Caffeine ADRA2B 0.9158975
Caffeine GRIN3A 0.903786
Caffeine SLC6A3 0.9998442
Caffeine ADRB2 0.9082818
Caffeine DRD2 0.9982644
Caffeine HTR1B 0.9655529
Caffeine CACNA1H 0.90428716
Caffeine GABRR2 0.9354149
Succinylcholine PPARG 0.96254414
Succinylcholine PTGS2 0.91813225
Succinylcholine SLC6A3 0.9800363
Succinylcholine TOP2A 0.9543411
Succinylcholine DRD2 0.9728635
Succinylcholine NR3C1 0.999321
Sildenafil CHRM1 0.9861828
Sildenafil SCN5A 0.96397877
Sildenafil CHRM5 0.98208517
Sildenafil PTGS2 0.9974534
Sildenafil ADRA2A 0.9301721
Sildenafil HTR3A 0.9054621
Sildenafil SLC6A2 0.9897613
Sildenafil ADRA1A 0.99267757
Sildenafil HTR2C 0.9239358
Sildenafil CHRM2 0.9841021
Sildenafil ADRA1B 0.952391
Sildenafil GABRA1 0.9956078
Dofetilide DRD1 0.9577107
Dofetilide ADRB1 0.9409205
Dofetilide ADRA1B 0.9694606
Dofetilide SLC6A4 0.9820753
Pyrimethamine DRD1 0.92730963
Pyrimethamine CHRM3 0.9250854
Pyrimethamine GABRA1 0.9325596
Pyrimethamine GABRG2 0.92155904
Reserpine PTGS2 0.929965
Reserpine HTR1A 0.9888039
Reserpine ADRA2B 0.9014312
Reserpine HTR1D 0.9953192
Reserpine HTR1B 0.95640945
Ticlopidine CHRM1 0.99736446
Ticlopidine HTR2A 0.9952722
Ticlopidine HTR2C 0.94105476
Ticlopidine CHRM2 0.9464918
Ticlopidine ADRA2B 0.932924
Adapalene CHRM3 0.9821958
Adapalene ADRB1 0.90092236
Adapalene PPARG 0.9992725
Adapalene PTGS2 0.9943488
Adapalene ADRA2A 0.9907188
Adapalene GABRA4 0.91267395
Adapalene HTR2C 0.99363273
Adapalene GRIN3A 0.96219814
Adapalene SLC6A4 0.98181593
Adapalene NR3C1 0.99275124
Adapalene ADORA2A 0.9636241
Adapalene NR1I2 0.99412245
Adapalene NR1H2 0.9421415
Adapalene NR1H3 0.990446
Midodrine PTGS1 0.996999
Midodrine SCN5A 0.9877121
Midodrine ADRA2A 0.9840761
Midodrine ADRA1D 0.9384307
Midodrine HTR1B 0.9627041
Citalopram CHRM5 0.9367276
Eletriptan CA4 0.93182427
Eletriptan ADRA2B 0.95034695
Eletriptan GABRA1 0.99872845
Eletriptan GABRG2 0.9115706
Moxifloxacin BCL2 0.91052294
Nelfinavir DRD1 0.9391772
Nelfinavir ADRB1 0.99311537
Nelfinavir PTGS2 0.96545124
Nelfinavir SLC6A2 0.975758
Nelfinavir GABRA1 0.9191088
Glimepiride CHRM1 0.945439
Glimepiride CA2 0.9105211
Glimepiride ADRA2C 0.95948416
Glimepiride CHRM4 0.9409844
Glimepiride SLC6A2 0.9380171
Glimepiride PDE4B 0.9424021
Glimepiride TOP2A 0.9768927
Glimepiride DRD2 0.9043815
Glimepiride GABRA1 0.9657864
Glimepiride GABRB3 0.93365645
Glimepiride GABRG1 0.9165796
Indinavir ABCC8 0.9295285
Indinavir ADRA2A 0.9825044
Indinavir SLC6A2 0.9967133
Indinavir CHRM2 0.9870134
Lovastatin PTGS1 0.9640603
Lovastatin PTGS2 0.9158494
Lovastatin CHRM4 0.97999656
Lovastatin SLC12A3 0.9903994
Lovastatin SLC29A1 0.9040605
Lovastatin ARF1 0.9434456
Enflurane PTGS1 0.9969373
Enflurane CHRM3 0.9543136
Enflurane SCN5A 0.97153
Enflurane ADRA2A 0.9853397
Enflurane HTR1A 0.9039803
Enflurane OPRD1 0.92413324
Enflurane HTR2A 0.9525404
Enflurane GABRA3 0.9952923
Enflurane HTR2C 0.96898985
Enflurane CHRM2 0.98043746
Enflurane ADRA1B 0.9181116
Enflurane GRIN3A 0.9923151
Enflurane SLC6A3 0.90649736
Enflurane HTR7 0.9519208
Enflurane HTR1D 0.9505001
Enflurane TOP2A 0.9604683
Enflurane DRD2 0.99992883
Enflurane ADORA2A 0.97350377
Enflurane KCND2 0.9782707
Pregabalin CHRM1 0.9933159
Temazepam PTGS1 0.99718577
Temazepam CHRM3 0.99018246
Temazepam CHRM1 0.9673177
Temazepam DRD5 0.9995122
Temazepam ADRB1 0.9951556
Temazepam SCN10A 0.9685677
Temazepam ABCC8 0.90004843
Temazepam ACE 0.9401787
Temazepam PTGS2 0.979928
Temazepam ADRA2A 0.95475
Temazepam ADRA2C 0.9893211
Temazepam HTR2B 0.91696644
Temazepam CHRM4 0.9780015
Temazepam SLC6A2 0.99865854
Temazepam PDE4B 0.98022914
Temazepam ADRA1A 0.9940275
Temazepam HTR2C 0.998495
Temazepam CHRM2 0.97330326
Temazepam ADRA2B 0.92177886
Temazepam HMGCR 0.950962
Temazepam ADRA1B 0.9989225
Temazepam GRIN3A 0.9996773
Temazepam SLC6A3 0.99125284
Temazepam ADRA1D 0.9847215
Temazepam GLRA2 0.9795909
Temazepam SLC6A4 0.9308977
Temazepam OPRM1 0.9726369
Temazepam GRIA2 0.96957713
Temazepam AOC3 0.9914473
Temazepam SCN4A 0.98370945
Temazepam CYP19A1 0.9838328
Temazepam MAOB 0.99918646
Temazepam MAOA 0.96856403
Temazepam LIPF 0.97889173
Milrinone ADRB1 0.93801415
Cladribine CHRM1 0.99717414
Cladribine PDE5A 0.93703365
Cladribine ACHE 0.954858
Ranolazine CHRM2 0.98540086
Ranolazine SLC6A4 0.96938276
Ziprasidone ADORA1 0.9998629
Ziprasidone PTGS1 0.9981962
Ziprasidone AGTR1 0.9943773
Ziprasidone ADRB1 0.95507216
Ziprasidone SCN5A 0.9968015
Ziprasidone BCL2 0.94076306
Ziprasidone PTGS2 0.9174519
Ziprasidone HTR2B 0.9920482
Ziprasidone CALM1 0.91225046
Ziprasidone OPRD1 0.99922574
Ziprasidone GABRA4 0.9942749
Ziprasidone CACNA1G 0.9686053
Ziprasidone SLC6A2 0.9998629
Ziprasidone KCNE1 0.9296005
Ziprasidone GABRA3 0.9789322
Ziprasidone OPRK1 0.9969919
Ziprasidone GRIN3A 0.9855627
Ziprasidone SLC6A3 0.998072
Ziprasidone KCNJ11 0.9810761
Ziprasidone ADRA1D 0.98395383
Ziprasidone TOP2A 0.9068945
Ziprasidone SLC6A4 0.99266726
Ziprasidone OPRM1 0.990334
Ziprasidone GRIA2 0.9092097
Ziprasidone DPP4 0.9987884
Ziprasidone CACNA1H 0.9990996
Ziprasidone CFTR 0.97230285
Ziprasidone PDE4D 0.9852542
Ziprasidone PLA2G2A 0.9345827
Ziprasidone BCHE 0.981307
Ziprasidone ADA 0.97759193
Ziprasidone GABRB3 0.99463886
Ziprasidone TEK 0.9113212
Ziprasidone GABRG3 0.9844668
Ziprasidone GABRR2 0.97861207
Ziprasidone GABRD 0.9896773
Methysergide ADORA1 0.9966444
Methysergide DRD1 0.9653255
Methysergide CHRM1 0.99242944
Methysergide SCN5A 0.9772735
Methysergide ADRA2A 0.9773571
Methysergide ACHE 0.9941209
Methysergide SLC6A2 0.9927343
Methysergide ADRA1A 0.91323763
Methysergide HTR1D 0.9801078
Methysergide SLC6A4 0.9962991
Methysergide DRD2 0.98484695
Methysergide HTR1B 0.99640405
Methysergide GRIA2 0.9662061
Cabergoline ADORA1 0.9530129
Cabergoline PTGS1 0.9135071
Cabergoline CHRM3 0.9368445
Cabergoline CHRM1 0.98842186
Cabergoline ADRB1 0.99827147
Cabergoline SCN10A 0.9888237
Cabergoline SCN5A 0.98895323
Cabergoline CHRM5 0.9971855
Cabergoline HTR3A 0.92160946
Cabergoline CA2 0.92738855
Cabergoline TACR1 0.9055014
Cabergoline ACHE 0.93735707
Cabergoline GABRA4 0.99636334
Cabergoline ADRA1A 0.9775144
Cabergoline GABRA3 0.93256366
Cabergoline ADRA1B 0.97272766
Cabergoline OPRK1 0.9576299
Cabergoline SLC6A4 0.9668282
Cabergoline NR3C1 0.93291104
Cabergoline GABRA1 0.99978155
Cabergoline ADORA2A 0.98992854
Cabergoline GABRB3 0.9992711
Cabergoline GABRB2 0.99212754
Cabergoline GABRG2 0.9169461
Cabergoline GABRG1 0.98912084
Cabergoline GABRR2 0.92492497
Dapsone CHRM1 0.9292794
Phenytoin CHRM1 0.9994031
Phenytoin ADRA2A 0.95305735
Phenytoin AVPR2 0.9199532
Phenytoin ADRA2C 0.95761174
Phenytoin SLC6A2 0.9992557
Phenytoin ADRA1A 0.9469856
Phenytoin ADRB2 0.9495832
Doxycycline PPARG 0.930312
Clotrimazole CHRM1 0.9724993
Clotrimazole HTR1D 0.9394914
Anagrelide CHRM1 0.9985662
Sulfisoxazole PTGS1 0.9957848
Sulfisoxazole ADRA2C 0.9789363
Sulfisoxazole HTR2A 0.9337055
Metoprolol CHRM3 0.99020535
Metoprolol SCN5A 0.9232879
Metoprolol PTGS2 0.99360776
Metoprolol ADRA2A 0.97164243
Metoprolol CHRM4 0.9682967
Metoprolol HTR2A 0.99420893
Metoprolol SLC6A2 0.92750835
Metoprolol TOP2A 0.9673702
Metoprolol SLC6A4 0.9516606
Metoprolol GABRA1 0.9938199
Metoprolol GABRB1 0.9838616
Metoprolol GABRB3 0.91913545
Ropinirole CHRM3 0.99400735
Ropinirole CHRM1 0.9973672
Ropinirole ADRB1 0.9762039
Ropinirole CHRM5 0.9891367
Ropinirole HTR3A 0.9060663
Ropinirole GABRA4 0.95130503
Ropinirole ADRA1A 0.9825717
Ropinirole CHRM2 0.9654757
Ropinirole ADRA1B 0.990386
Ropinirole OPRK1 0.95190936
Ropinirole GRIN3A 0.912193
Ropinirole SLC6A3 0.9557113
Ropinirole OPRM1 0.9825006
Ropinirole NR3C1 0.95291513
Ropinirole GABRA1 0.9955048
Ropinirole ADORA2A 0.9935035
Ropinirole CYP19A1 0.90192354
Ropinirole GABRG2 0.9096091
Diatrizoate CHRM3 0.9747321
Diatrizoate CHRM1 0.96286017
Diatrizoate NR3C1 0.9556139
Topiramate ADRB1 0.9939614
Topiramate SCN5A 0.9977469
Topiramate PTGS2 0.996198
Topiramate CHRM4 0.9370446
Topiramate HTR2A 0.98528963
Topiramate CHRM2 0.9369401
Topiramate KCNA1 0.94933426
Amsacrine DRD1 0.9443382
Amsacrine DRD5 0.9386033
Amsacrine ADRB1 0.93947047
Amsacrine ADRA2C 0.9256578
Amsacrine NR3C1 0.9260881
Amsacrine GABRG2 0.9585955
Theophylline DRD1 0.9314901
Theophylline CHRM3 0.9509981
Theophylline KCNH2 0.98023134
Theophylline CHRM1 0.997985
Theophylline DRD5 0.99819994
Theophylline ADRA2A 0.9696632
Theophylline CACNA1C 0.99834573
Theophylline HTR2A 0.9877302
Theophylline PTGIR 0.95296663
Theophylline SLC6A2 0.9975873
Theophylline ADRA1A 0.99849033
Theophylline HTR2C 0.90613127
Theophylline ADRA1B 0.98897773
Theophylline TOP2A 0.9409814
Theophylline SLC6A4 0.90184706
Theophylline DRD2 0.9843237
Theophylline GABRA1 0.98822415
Theophylline HTR1B 0.9914408
Theophylline SCN2A 0.94779056
Theophylline CACNA1S 0.98062277
Theophylline GABRG2 0.9957476
Theophylline GABRR2 0.99467224
Theophylline PRKACB 0.9751428
Argatroban ADRB2 0.90540344
Disopyramide PTGS1 0.99243915
Disopyramide ESR1 0.92416245
Disopyramide PDE5A 0.9666304
Disopyramide PPARG 0.9971111
Disopyramide PTGS2 0.97910196
Disopyramide ADRA2A 0.99728847
Disopyramide HTR2A 0.96780574
Disopyramide ADRA2B 0.9357519
Disopyramide SLC6A3 0.947758
Disopyramide HTR1D 0.9904757
Disopyramide SLC6A4 0.90448284
Disopyramide DRD2 0.99923885
Disopyramide NR3C1 0.9961212
Disopyramide HTR1B 0.99298054
Lidocaine CHRM3 0.9162483
Lidocaine DRD5 0.9366283
Lidocaine PTGS2 0.9997259
Lidocaine CA2 0.95353395
Lidocaine TYMS 0.92403185
Lidocaine ADRA2C 0.98442495
Lidocaine HTR2B 0.9889048
Lidocaine CALM1 0.9864145
Lidocaine SLC6A2 0.99641174
Lidocaine SLC6A4 0.938362
Lidocaine NR3C1 0.9527413
Lidocaine GABRA1 0.94058204
Lidocaine GABRB3 0.9911424
Pamidronate CHRM1 0.90771466
Pamidronate ADRA2A 0.9613635
Pamidronate CHRM4 0.9878692
Pamidronate GABRA4 0.9420032
Pamidronate SLC6A3 0.98721665
Pamidronate TOP2A 0.9938246
Pamidronate GABRB1 0.92576456
Pamidronate GABRB2 0.94817966
Pamidronate GABRG2 0.9917789
Clemastine CHRM3 0.9759591
Clemastine OPRM1 0.9826868
Acarbose SCN10A 0.9824684
Acarbose PTGS2 0.98526347
Acarbose ADRA2A 0.91628677
Acarbose HTR1A 0.94487447
Acarbose SLC12A3 0.9974982
Acarbose ADRA1A 0.9285973
Acarbose GOT1 0.95877135
Acarbose HTR1D 0.98236865
Acarbose GLRA2 0.91712934
Acarbose SLC6A4 0.98137593
Acarbose SMPD1 0.98009926
Acarbose CYP19A1 0.96341795
Acarbose MAOB 0.99951077
Acarbose UPP1 0.99338585
Acarbose GABRD 0.99531233
Venlafaxine PTGS2 0.999453
Venlafaxine ADRA1A 0.9631538
Venlafaxine CHRM2 0.9769058
Venlafaxine ADRB2 0.9981341
Venlafaxine HTR1B 0.96696186
Venlafaxine GABRB1 0.98025906
Venlafaxine GABRB3 0.9946149
Travoprost CHRM2 0.95370317
Amcinonide NR3C2 0.941856
Atomoxetine DRD2 0.97547513
Atomoxetine HTR1B 0.9620902
Etomidate DRD5 0.94903344
Etomidate ADRA2A 0.9991798
Etomidate ADRA1A 0.96939063
Etomidate ADRB2 0.9897159
Etomidate OPRM1 0.9763001
Raltitrexed ADRA2C 0.9335303
Raltitrexed ADRA2B 0.9929391
Raltitrexed NR3C1 0.9998103
Morphine ADRB1 0.97112167
Morphine ADRA2A 0.99957496
Morphine HTR3A 0.95495844
Morphine PDE4B 0.9405485
Morphine GRIN3A 0.90876865
Morphine GABRA1 0.9900039
Ropivacaine ESR1 0.9607238
Ropivacaine PPARG 0.96653074
Ropivacaine PTGS2 0.9932018
Ropivacaine HTR1A 0.97732055
Ropivacaine CALM1 0.9693021
Ropivacaine ADRA1A 0.9023184
Ropivacaine SLC6A3 0.9428481
Ropivacaine NR3C1 0.9792845
Ropivacaine GABRA1 0.9295248
Ropivacaine ADORA2A 0.9046804
Bupivacaine CHRM3 0.9458491
Bupivacaine PTGS2 0.99905413
Bupivacaine CALM1 0.902414
Bupivacaine OPRD1 0.98899466
Bupivacaine GABRA4 0.94362074
Bupivacaine SLC6A2 0.9915991
Bupivacaine ADRA1A 0.9771345
Bupivacaine SLC6A4 0.98631686
Penciclovir CHRM1 0.9971597
Penciclovir PTGS2 0.9189447
Penciclovir HTR2B 0.99610305
Penciclovir CHRM2 0.9736005
Penciclovir HTR1B 0.9823814
Tranexamic Acid CHRM3 0.9868067
Tranexamic Acid F2 0.9286317
Tranexamic Acid ADRB1 0.9780092
Tranexamic Acid PTGS2 0.94601697
Tranexamic Acid ADRA2A 0.98145974
Tranexamic Acid HTR3A 0.96578413
Tranexamic Acid CHRM2 0.9418218
Tranexamic Acid ADRB2 0.9591907
Tranexamic Acid OPRM1 0.9887919
Tranexamic Acid NR3C1 0.97957
Tranexamic Acid GABRA1 0.9932793
Bexarotene CHRM1 0.99738294
Bexarotene ESR1 0.95322925
Bexarotene PPARG 0.97293156
Bexarotene PTGS2 0.97523206
Bexarotene ADRA2C 0.9204942
Bexarotene ADRA1A 0.9001587
Bexarotene ADRB2 0.98959994
Bexarotene TSPO 0.94533575
Bexarotene NR3C1 0.9935468
Ibutilide CHRM1 0.99992716
Ibutilide GABRR1 0.9524593
Ibutilide DRD5 0.9698295
Ibutilide HTR1A 0.97121865
Ibutilide CA2 0.93761384
Ibutilide HTR2B 0.96881324
Ibutilide OPRD1 0.982756
Ibutilide HTR1F 0.9892379
Ibutilide SLC6A2 0.99978226
Ibutilide CHRM2 0.98787993
Ibutilide HTR7 0.9840072
Ibutilide ADRB2 0.99392563
Ibutilide TOP2A 0.9992262
Ibutilide DRD2 0.993804
Ibutilide OPRM1 0.94562393
Ibutilide HTR1B 0.99779093
Ibutilide S100A13 0.9165115
Ibutilide GABRB1 0.94965035
Ibutilide GABRG2 0.90572083
Chlorthalidone ADRA1A 0.9154861
Chlorthalidone GABRA3 0.94244206
Pentobarbital PTGS1 0.99131984
Pentobarbital CHRM3 0.99596405
Pentobarbital PPARA 0.955624
Pentobarbital GABRR1 0.992729
Pentobarbital DRD5 0.9156024
Pentobarbital ADRB1 0.99511045
Pentobarbital GRIN2B 0.9492254
Pentobarbital OPRD1 0.9429792
Pentobarbital MT-ND1 0.9465672
Pentobarbital HTR2C 0.9882383
Pentobarbital ADRA1B 0.97088474
Pentobarbital GRIA1 0.9991571
Pentobarbital ADRB2 0.9895719
Pentobarbital TSPO 0.9741442
Pentobarbital TOP2A 0.9973647
Pentobarbital SLC6A4 0.9654969
Pentobarbital DRD2 0.99027634
Pentobarbital OPRM1 0.9501336
Pentobarbital ADORA2A 0.97737885
Pentobarbital GABRR2 0.97796655
Valproic Acid RARG 0.9843642
Valproic Acid TOP2A 0.9236801
Valproic Acid GABRR2 0.9595354
Zolmitriptan CHRM1 0.99810284
Zolmitriptan SCN5A 0.9837795
Zolmitriptan ACHE 0.99445266
Zolmitriptan SLC6A2 0.9972863
Zolmitriptan ADRA1A 0.94332427
Acetaminophen SLC6A2 0.9083633
Acetaminophen GABRB3 0.98380107
Gefitinib CHRM3 0.92323416
Gefitinib PPARG 0.9009636
Gefitinib HTR2A 0.9956648
Gefitinib HTR2C 0.9283967
Gefitinib NR3C1 0.93656445
Codeine PTGS2 0.92248255
Codeine ADRA2A 0.9715778
Codeine HTR2A 0.98604417
Codeine SLC6A2 0.91341054
Codeine NR3C1 0.94840276
Codeine GABRA1 0.9250842
Dihydroergotamine CHRM1 0.9845226
Dihydroergotamine GABRR1 0.91083694
Dihydroergotamine HTR1A 0.9942846
Dihydroergotamine HTR2A 0.9384381
Dihydroergotamine ADRA1A 0.9602085
Dihydroergotamine DRD3 0.90989244
Dihydroergotamine DRD2 0.9516802
Amitriptyline PTGS1 0.9980951
Amitriptyline GLRB 0.9540714
Amitriptyline P2RY12 0.956286
Amitriptyline ADRB1 0.9707273
Amitriptyline SCN10A 0.91971046
Amitriptyline EPRS 0.9622264
Amitriptyline SCN5A 0.99582314
Amitriptyline ACE 0.9813859
Amitriptyline ADORA2B 0.9909071
Amitriptyline BCL2 0.94432074
Amitriptyline PTGS2 0.9645416
Amitriptyline HTR3A 0.98281556
Amitriptyline ADRA2C 0.9936353
Amitriptyline PRLR 0.94459224
Amitriptyline ACCN2 0.9542494
Amitriptyline DRD4 0.9330536
Amitriptyline KIT 0.9437304
Amitriptyline GABRA4 0.9685221
Amitriptyline PDE4B 0.9745694
Amitriptyline GABRA3 0.99364567
Amitriptyline HTR2C 0.9841846
Amitriptyline ADRA2B 0.9680714
Amitriptyline ADRA1B 0.99803144
Amitriptyline DRD3 0.99634176
Amitriptyline SLC6A3 0.91378266
Amitriptyline HTR1D 0.97460157
Amitriptyline CALY 0.95255715
Amitriptyline TSPO 0.998494
Amitriptyline GLUD2 0.9055079
Amitriptyline DRD2 0.99830496
Amitriptyline GABRA1 0.9555229
Amitriptyline HTR1B 0.96466666
Amitriptyline GRIA2 0.9342433
Amitriptyline CHRNA4 0.93452764
Amitriptyline CSF1R 0.9546157
Amitriptyline PDE4A 0.918754
Amitriptyline TLR9 0.9986607
Amitriptyline SI 0.9626671
Amitriptyline PDE4D 0.9438014
Amitriptyline MAOA 0.96273893
Amitriptyline GABRB1 0.957678
Amitriptyline GABRB2 0.9996588
Amitriptyline CACNA1D 0.97854495
Amitriptyline MAPK12 0.93054354
Amitriptyline PPCDC 0.90436476
Amitriptyline TEK 0.92040956
Amitriptyline PDE1A 0.9053906
Amitriptyline GABRG2 0.9904792
Amitriptyline GABRG1 0.9966414
Amitriptyline GABRG3 0.9868885
Amitriptyline GABRD 0.9963503
Tolcapone ADRA1B 0.93080723
Fluorometholone DRD4 0.9616379
Fluorometholone GABRA1 0.9702679
Hydromorphone DRD1 0.9828367
Hydromorphone CHRM1 0.998922
Hydromorphone ADRB1 0.91688794
Hydromorphone ADRA2A 0.99629056
Hydromorphone GABRA4 0.90345436
Hydromorphone ADRA1A 0.902899
Hydromorphone TOP2A 0.9019256
