Drug Protein Probability
17 1169 0.9872405
17 1171 0.9697174
18 72 0.96620417
18 120 0.9447221
18 279 0.9960736
18 310 0.94656366
18 427 0.95575976
18 1169 0.99195874
20 41 0.99780506
20 68 0.9746475
20 186 0.9498711
20 224 0.95151514
20 242 0.9365316
20 321 0.90315294
20 327 0.9937483
20 422 0.9175318
20 460 0.9866605
20 1203 0.96618783
21 11 0.990802
21 27 0.93155664
21 279 0.9757513
21 431 0.965734
21 460 0.99313736
21 584 0.9001647
21 859 0.95257
21 923 0.91791695
21 1168 0.9006259
22 290 0.9234566
22 462 0.94074297
22 498 0.95758814
23 224 0.9883161
23 274 0.9479855
23 279 0.98980546
23 310 0.9006812
23 460 0.9246444
24 27 0.944974
24 61 0.97676873
24 257 0.9357397
24 303 0.99768233
24 327 0.9158975
24 363 0.903786
24 367 0.9998442
24 395 0.9082818
24 436 0.9982644
24 462 0.9655529
24 506 0.90428716
24 1170 0.9354149
25 120 0.96254414
25 151 0.91813225
25 367 0.9800363
25 427 0.9543411
25 436 0.9728635
25 460 0.999321
26 50 0.9861828
26 109 0.96397877
26 140 0.98208517
26 151 0.9974534
26 165 0.9301721
26 176 0.9054621
26 279 0.9897613
26 289 0.99267757
26 310 0.9239358
26 323 0.9841021
26 329 0.952391
26 461 0.9956078
27 13 0.9577107
27 99 0.9409205
27 329 0.9694606
27 431 0.9820753
28 13 0.92730963
28 27 0.9250854
28 461 0.9325596
28 1167 0.92155904
29 151 0.929965
29 166 0.9888039
29 327 0.9014312
29 375 0.9953192
29 462 0.95640945
31 50 0.99736446
31 257 0.9952722
31 310 0.94105476
31 323 0.9464918
31 327 0.932924
32 27 0.9821958
32 99 0.90092236
32 120 0.9992725
32 151 0.9943488
32 165 0.9907188
32 274 0.91267395
32 310 0.99363273
32 363 0.96219814
32 431 0.98181593
32 460 0.99275124
32 547 0.9636241
32 571 0.99412245
32 809 0.9421415
32 1234 0.990446
33 11 0.996999
33 109 0.9877121
33 165 0.9840761
33 408 0.9384307
33 462 0.9627041
35 140 0.9367276
36 312 0.93182427
36 327 0.95034695
36 461 0.99872845
36 1167 0.9115706
37 139 0.91052294
38 13 0.9391772
38 99 0.99311537
38 151 0.96545124
38 279 0.975758
38 461 0.9191088
39 50 0.945439
39 184 0.9105211
39 195 0.95948416
39 233 0.9409844
39 279 0.9380171
39 280 0.9424021
39 427 0.9768927
39 436 0.9043815
39 461 0.9657864
39 989 0.93365645
39 1168 0.9165796
40 116 0.9295285
40 165 0.9825044
40 279 0.9967133
40 323 0.9870134
41 11 0.9640603
41 151 0.9158494
41 233 0.97999656
41 243 0.9903994
41 745 0.9040605
41 1249 0.9434456
42 11 0.9969373
42 27 0.9543136
42 109 0.97153
42 165 0.9853397
42 166 0.9039803
42 244 0.92413324
42 257 0.9525404
42 303 0.9952923
42 310 0.96898985
42 323 0.98043746
42 329 0.9181116
42 363 0.9923151
42 367 0.90649736
42 369 0.9519208
42 375 0.9505001
42 427 0.9604683
42 436 0.99992883
42 547 0.97350377
42 1174 0.9782707
43 50 0.9933159
44 11 0.99718577
44 27 0.99018246
44 50 0.9673177
44 84 0.9995122
44 99 0.9951556
44 100 0.9685677
44 116 0.90004843
44 125 0.9401787
44 151 0.979928
44 165 0.95475
44 195 0.9893211
44 224 0.91696644
44 233 0.9780015
44 279 0.99865854
44 280 0.98022914
44 289 0.9940275
44 310 0.998495
44 323 0.97330326
44 327 0.92177886
44 328 0.950962
44 329 0.9989225
44 363 0.9996773
44 367 0.99125284
44 408 0.9847215
44 428 0.9795909
44 431 0.9308977
44 443 0.9726369
44 476 0.96957713
44 606 0.9914473
44 855 0.98370945
44 859 0.9838328
44 923 0.99918646
44 925 0.96856403
44 1182 0.97889173
45 99 0.93801415
47 50 0.99717414
47 103 0.93703365
47 247 0.954858
48 323 0.98540086
48 431 0.96938276
49 7 0.9998629
49 11 0.9981962
49 34 0.9943773
49 99 0.95507216
49 109 0.9968015
49 139 0.94076306
49 151 0.9174519
49 224 0.9920482
49 242 0.91225046
49 244 0.99922574
49 274 0.9942749
49 277 0.9686053
49 279 0.9998629
49 281 0.9296005
49 303 0.9789322
49 359 0.9969919
49 363 0.9855627
49 367 0.998072
49 403 0.9810761
49 408 0.98395383
49 427 0.9068945
49 431 0.99266726
49 443 0.990334
49 476 0.9092097
49 498 0.9987884
49 506 0.9990996
49 740 0.97230285
49 766 0.9852542
49 815 0.9345827
49 917 0.981307
49 932 0.97759193
49 989 0.99463886
49 1116 0.9113212
49 1169 0.9844668
49 1170 0.97861207
49 1171 0.9896773
50 7 0.9966444
50 13 0.9653255
50 50 0.99242944
50 109 0.9772735
50 165 0.9773571
50 247 0.9941209
50 279 0.9927343
50 289 0.91323763
50 375 0.9801078
50 431 0.9962991
50 436 0.98484695
50 462 0.99640405
50 476 0.9662061
51 7 0.9530129
51 11 0.9135071
51 27 0.9368445
51 50 0.98842186
51 99 0.99827147
51 100 0.9888237
51 109 0.98895323
51 140 0.9971855
51 176 0.92160946
51 184 0.92738855
51 219 0.9055014
51 247 0.93735707
51 274 0.99636334
51 289 0.9775144
51 303 0.93256366
51 329 0.97272766
51 359 0.9576299
51 431 0.9668282
51 460 0.93291104
51 461 0.99978155
51 547 0.98992854
51 989 0.9992711
51 990 0.99212754
51 1167 0.9169461
51 1168 0.98912084
51 1170 0.92492497
52 50 0.9292794
53 50 0.9994031
53 165 0.95305735
53 167 0.9199532
53 195 0.95761174
53 279 0.9992557
53 289 0.9469856
53 395 0.9495832
54 120 0.930312
55 50 0.9724993
55 375 0.9394914
56 50 0.9985662
57 11 0.9957848
57 195 0.9789363
57 257 0.9337055
58 27 0.99020535
58 109 0.9232879
58 151 0.99360776
58 165 0.97164243
58 233 0.9682967
58 257 0.99420893
58 279 0.92750835
58 427 0.9673702
58 431 0.9516606
58 461 0.9938199
58 988 0.9838616
58 989 0.91913545
59 27 0.99400735
59 50 0.9973672
59 99 0.9762039
59 140 0.9891367
59 176 0.9060663
59 274 0.95130503
59 289 0.9825717
59 323 0.9654757
59 329 0.990386
59 359 0.95190936
59 363 0.912193
59 367 0.9557113
59 443 0.9825006
59 460 0.95291513
59 461 0.9955048
59 547 0.9935035
59 859 0.90192354
59 1167 0.9096091
60 27 0.9747321
60 50 0.96286017
60 460 0.9556139
61 99 0.9939614
61 109 0.9977469
61 151 0.996198
61 233 0.9370446
61 257 0.98528963
61 323 0.9369401
61 453 0.94933426
62 13 0.9443382
62 84 0.9386033
62 99 0.93947047
62 195 0.9256578
62 460 0.9260881
62 1167 0.9585955
63 13 0.9314901
63 27 0.9509981
63 49 0.98023134
63 50 0.997985
63 84 0.99819994
63 165 0.9696632
63 249 0.99834573
63 257 0.9877302
63 272 0.95296663
63 279 0.9975873
63 289 0.99849033
63 310 0.90613127
63 329 0.98897773
63 427 0.9409814
63 431 0.90184706
63 436 0.9843237
63 461 0.98822415
63 462 0.9914408
63 853 0.94779056
63 995 0.98062277
63 1167 0.9957476
63 1170 0.99467224
63 1406 0.9751428
64 395 0.90540344
65 11 0.99243915
65 68 0.92416245
65 103 0.9666304
65 120 0.9971111
65 151 0.97910196
65 165 0.99728847
65 257 0.96780574
65 327 0.9357519
65 367 0.947758
65 375 0.9904757
65 431 0.90448284
65 436 0.99923885
65 460 0.9961212
65 462 0.99298054
66 27 0.9162483
66 84 0.9366283
66 151 0.9997259
66 184 0.95353395
66 186 0.92403185
66 195 0.98442495
66 224 0.9889048
66 242 0.9864145
66 279 0.99641174
66 431 0.938362
66 460 0.9527413
66 461 0.94058204
66 989 0.9911424
67 50 0.90771466
67 165 0.9613635
67 233 0.9878692
67 274 0.9420032
67 367 0.98721665
67 427 0.9938246
67 988 0.92576456
67 990 0.94817966
67 1167 0.9917789
68 27 0.9759591
68 443 0.9826868
69 100 0.9824684
69 151 0.98526347
69 165 0.91628677
69 166 0.94487447
69 243 0.9974982
69 289 0.9285973
69 308 0.95877135
69 375 0.98236865
69 428 0.91712934
69 431 0.98137593
69 584 0.98009926
69 859 0.96341795
69 923 0.99951077
69 1041 0.99338585
69 1171 0.99531233
70 151 0.999453
70 289 0.9631538
70 323 0.9769058
70 395 0.9981341
70 462 0.96696186
70 988 0.98025906
70 989 0.9946149
71 323 0.95370317
72 381 0.941856
73 436 0.97547513
73 462 0.9620902
75 84 0.94903344
75 165 0.9991798
75 289 0.96939063
75 395 0.9897159
75 443 0.9763001
76 195 0.9335303
76 327 0.9929391
76 460 0.9998103
77 99 0.97112167
77 165 0.99957496
77 176 0.95495844
77 280 0.9405485
77 363 0.90876865
77 461 0.9900039
78 68 0.9607238
78 120 0.96653074
78 151 0.9932018
78 166 0.97732055
78 242 0.9693021
78 289 0.9023184
78 367 0.9428481
78 460 0.9792845
78 461 0.9295248
78 547 0.9046804
79 27 0.9458491
79 151 0.99905413
79 242 0.902414
79 244 0.98899466
79 274 0.94362074
79 279 0.9915991
79 289 0.9771345
79 431 0.98631686
80 50 0.9971597
80 151 0.9189447
80 224 0.99610305
80 323 0.9736005
80 462 0.9823814
81 27 0.9868067
81 29 0.9286317
81 99 0.9780092
81 151 0.94601697
81 165 0.98145974
81 176 0.96578413
81 323 0.9418218
81 395 0.9591907
81 443 0.9887919
81 460 0.97957
81 461 0.9932793
83 50 0.99738294
83 68 0.95322925
83 120 0.97293156
83 151 0.97523206
83 195 0.9204942
83 289 0.9001587
83 395 0.98959994
83 422 0.94533575
83 460 0.9935468
84 50 0.99992716
84 72 0.9524593
84 84 0.9698295
84 166 0.97121865
84 184 0.93761384
84 224 0.96881324
84 244 0.982756
84 264 0.9892379
84 279 0.99978226
84 323 0.98787993
84 369 0.9840072
84 395 0.99392563
84 427 0.9992262
84 436 0.993804
84 443 0.94562393
84 462 0.99779093
84 519 0.9165115
84 988 0.94965035
84 1167 0.90572083
85 289 0.9154861
85 303 0.94244206
86 11 0.99131984
86 27 0.99596405
86 40 0.955624
86 72 0.992729
86 84 0.9156024
86 99 0.99511045
86 241 0.9492254
86 244 0.9429792
86 291 0.9465672
86 310 0.9882383
86 329 0.97088474
86 362 0.9991571
86 395 0.9895719
86 422 0.9741442
86 427 0.9973647
86 431 0.9654969
86 436 0.99027634
86 443 0.9501336
86 547 0.97737885
86 1170 0.97796655
87 83 0.9843642
87 427 0.9236801
87 1170 0.9595354
88 50 0.99810284
88 109 0.9837795
88 247 0.99445266
88 279 0.9972863
88 289 0.94332427
89 279 0.9083633
89 989 0.98380107
90 27 0.92323416
90 120 0.9009636
90 257 0.9956648
90 310 0.9283967
90 460 0.93656445
91 151 0.92248255
91 165 0.9715778
91 257 0.98604417
91 279 0.91341054
91 460 0.94840276
91 461 0.9250842
93 50 0.9845226
93 72 0.91083694
93 166 0.9942846
93 257 0.9384381
93 289 0.9602085
93 331 0.90989244
93 436 0.9516802
94 11 0.9980951
94 32 0.9540714
94 59 0.956286
94 99 0.9707273
94 100 0.91971046
94 105 0.9622264
94 109 0.99582314
94 125 0.9813859
94 136 0.9909071
94 139 0.94432074
94 151 0.9645416
94 176 0.98281556
94 195 0.9936353
94 197 0.94459224
94 202 0.9542494
94 222 0.9330536
94 259 0.9437304
94 274 0.9685221
94 280 0.9745694
94 303 0.99364567
94 310 0.9841846
94 327 0.9680714
94 329 0.99803144
94 331 0.99634176
94 367 0.91378266
94 375 0.97460157
94 380 0.95255715
94 422 0.998494
94 435 0.9055079
94 436 0.99830496
94 461 0.9555229
94 462 0.96466666
94 476 0.9342433
94 494 0.93452764
94 497 0.9546157
94 697 0.918754
94 723 0.9986607
94 727 0.9626671
94 766 0.9438014
94 925 0.96273893
94 988 0.957678
94 990 0.9996588
94 999 0.97854495
94 1064 0.93054354
94 1082 0.90436476
94 1116 0.92040956
94 1152 0.9053906
94 1167 0.9904792
94 1168 0.9966414
94 1169 0.9868885
94 1171 0.9963503
95 329 0.93080723
96 222 0.9616379
96 461 0.9702679
97 13 0.9828367
97 50 0.998922
97 99 0.91688794
97 165 0.99629056
97 274 0.90345436
97 289 0.902899
97 427 0.9019256
97 1167 0.9470859
98 27 0.9627001
98 50 0.99482346
98 99 0.9877307
98 100 0.9934041
98 176 0.9326082
98 195 0.961454
98 242 0.96379316
98 290 0.98354715
98 310 0.9632313
98 427 0.9136474
98 431 0.980431
98 498 0.98241675
98 923 0.9320225
98 999 0.9799755
99 460 0.9554405
100 11 0.9830238
100 247 0.91866493
100 280 0.93129426
100 303 0.9038329
100 323 0.9888222
100 395 0.96506107
100 436 0.9242819
100 1499 0.9430434
101 13 0.98281443
101 50 0.9029761
101 323 0.99193716
101 359 0.95644313
101 436 0.9758277
101 989 0.91128665
102 74 0.9867359
102 99 0.98421544
102 109 0.9349519
102 116 0.9568693
102 141 0.9945643
102 224 0.9997801
102 249 0.99443674
102 274 0.9840755
102 303 0.9644344
102 312 0.95784
102 320 0.9983047
102 431 0.90569824
102 460 0.9264815
102 461 0.9994072
102 547 0.9603768
102 990 0.99517524
102 999 0.9048726
102 1147 0.92580724
102 1168 0.96883786
103 165 0.9928947
103 292 0.91190743
104 120 0.9457989
104 139 0.958738
104 165 0.96346503
104 244 0.960505
104 436 0.975416
104 443 0.9869104
104 460 0.9912821
104 461 0.923832
105 460 0.94539064
106 13 0.9776389
106 27 0.9583152
106 84 0.98890674
106 109 0.9420619
106 151 0.96605754
106 195 0.9439155
106 310 0.97831076
106 431 0.99749714
106 462 0.95775944
106 1168 0.9004476
109 100 0.98998356
109 166 0.93612754
109 224 0.97285426
109 436 0.9980592
109 462 0.9587172
110 27 0.93477947
110 99 0.99917644
110 165 0.9973157
110 195 0.9302934
110 257 0.9694912
110 310 0.9958548
111 11 0.98512506
111 84 0.99462587
111 109 0.97208506
111 140 0.99539423
111 151 0.9927269
111 166 0.986535
111 176 0.9899448
111 224 0.9715801
111 244 0.9226166
111 257 0.9926589
111 289 0.95341486
111 310 0.999539
111 323 0.9900892
111 327 0.9913339
111 329 0.99183065
111 359 0.9983016
111 369 0.918491
111 375 0.9893428
111 436 0.99200046
111 443 0.98950434
112 13 0.99915636
112 50 0.9987049
112 84 0.981645
112 140 0.9620343
112 165 0.9881777
112 257 0.9921591
112 279 0.9953491
112 310 0.98760986
112 359 0.9383309
112 395 0.9337229
112 443 0.90010417
112 461 0.999438
112 989 0.991281
112 1167 0.99692863
112 1169 0.93323296
113 151 0.9038169
113 165 0.9337571
113 279 0.9988224
113 461 0.94376224
114 165 0.97956306
114 257 0.995928
114 395 0.91753274
114 460 0.921443
116 74 0.9665305
116 99 0.9647688
116 151 0.938125
116 165 0.9842817
116 244 0.9624567
116 395 0.9427328
116 443 0.9619436
116 925 0.9385178
117 27 0.9241243
117 176 0.96398574
117 187 0.9102329
117 195 0.9099019
117 274 0.9247717
117 310 0.93206406
117 443 0.91187775
117 461 0.99294114
121 7 0.958243
121 46 0.92149466
121 79 0.9571845
121 84 0.9952409
121 100 0.9946467
121 122 0.9279493
121 138 0.96436065
121 151 0.9509828
121 186 0.9757075
121 224 0.9994698
121 249 0.9430913
121 258 0.9193733
121 274 0.9950671
121 279 0.9903818
121 280 0.9449307
121 328 0.9874988
121 359 0.9958603
121 367 0.999521
121 393 0.93228966
121 428 0.98137397
121 431 0.94463485
121 460 0.99662966
121 461 0.9998859
121 547 0.9984469
121 622 0.9545632
121 697 0.9959884
121 766 0.99765056
121 941 0.99887735
121 989 0.9974865
121 999 0.98671
121 1167 0.9587557
121 1170 0.98167014
122 27 0.94047785
122 50 0.98584324
122 99 0.9995745
122 165 0.99954176
122 233 0.9765436
122 257 0.9903272
122 289 0.98595077
122 310 0.9680223
122 329 0.9854753
122 395 0.9991019
122 408 0.96015376
122 431 0.94365394
122 443 0.90539914
122 461 0.99533725
122 876 0.91043144
122 893 0.9138848
122 894 0.98733485
122 988 0.94738466
122 999 0.9732301
123 11 0.93172055
123 99 0.90022403
123 165 0.96563464
123 186 0.9544044
123 224 0.9854575
123 257 0.92923564
123 460 0.9989697
123 989 0.9023084
124 61 0.98099744
124 109 0.9738704
124 249 0.91092986
124 272 0.91802716
124 316 0.9572614
124 323 0.95109063
124 443 0.9502369
124 460 0.99681026
124 461 0.9623732
124 631 0.92729115
124 917 0.90943575
124 1168 0.9239028
124 1171 0.97075033
125 462 0.91772616
126 13 0.9363986
126 27 0.98737144
126 99 0.9981342
126 109 0.9965405
126 323 0.9742521
126 329 0.9738609
126 367 0.94287646
126 436 0.9736102
126 461 0.9962245
127 50 0.9850264
127 99 0.9652845
127 462 0.98680437
127 917 0.96880734
127 923 0.9511398
127 1168 0.9946425
128 165 0.98463285
128 244 0.98297197
128 436 0.9275147
129 7 0.9851099
129 13 0.93154204
129 99 0.9007542
129 109 0.9869528
129 151 0.9411502
129 165 0.99492985
129 166 0.9016013
129 244 0.9825665
129 257 0.9788123
129 310 0.99601895
129 375 0.97834134
129 431 0.98229986
129 436 0.9948472
129 461 0.9713921
129 1170 0.9091826
131 13 0.9872875
131 84 0.9952304
131 99 0.9992052
131 109 0.9092795
131 151 0.9948716
131 165 0.98132193
131 190 0.9744038
131 195 0.975206
131 257 0.977635
131 274 0.9936831
131 279 0.9477033
131 310 0.9918771
131 363 0.98995274
131 436 0.92825574
131 461 0.996425
131 989 0.9935126
131 990 0.90806013
131 994 0.9872771
132 165 0.99508876
132 443 0.9986266
132 461 0.97859883
133 11 0.98557127
133 13 0.98254377
133 27 0.98326874
133 50 0.967309
133 84 0.93523383
133 99 0.9879177
133 151 0.91529447
133 165 0.999949
133 289 0.97275275
133 327 0.94251966
133 359 0.99037594
133 408 0.94333774
133 443 0.99843305
133 461 0.9991671
133 562 0.9232463
134 27 0.9006313
134 49 0.91495615
134 50 0.99718815
134 72 0.9435532
134 99 0.9850485
134 165 0.9966137
134 233 0.9960135
134 274 0.975812
134 279 0.9561246
134 290 0.9259721
134 310 0.9398617
134 323 0.9882527
134 328 0.9958015
134 329 0.9205079
134 427 0.96860105
134 460 0.9157825
134 461 0.9349
134 622 0.95357054
134 998 0.93240666
134 1170 0.9614999
135 195 0.94375545
135 224 0.9801073
135 279 0.97907263
135 461 0.9924725
135 988 0.9456171
135 1171 0.9715489
136 84 0.9522935
136 99 0.96782506
136 289 0.99128234
136 329 0.9555255
136 395 0.96895903
136 436 0.9982969
136 461 0.9999018
136 1170 0.9591222
137 84 0.98991007
137 151 0.9014947
137 165 0.9946445
137 257 0.90088683
137 310 0.9088993
137 395 0.9830899
138 257 0.9736249
138 461 0.9617849
138 989 0.9186757
139 3 0.9745928
139 17 0.9716377
139 49 0.94995755
139 76 0.95040554
139 84 0.99786866
139 100 0.9982591
139 113 0.9762639
139 176 0.9157475
139 180 0.9593119
139 190 0.9697889
139 272 0.9013329
139 279 0.93937117
139 280 0.9814693
139 303 0.92336065
139 318 0.94779354
139 323 0.9917848
139 329 0.94574493
139 418 0.99812454
139 427 0.90123016
139 431 0.9919708
139 436 0.99359095
139 506 0.96918607
139 547 0.9769801
139 628 0.9762067
139 697 0.92004645
139 853 0.9714068
139 941 0.99872893
139 986 0.9850663
139 990 0.9413516
139 1018 0.91396433
139 1170 0.9787483
140 289 0.9458539
141 72 0.9031422
141 74 0.9575369
141 166 0.99417675
141 318 0.9406621
141 323 0.9986387
141 375 0.99843806
141 462 0.99836665
141 1203 0.9505509
142 27 0.98705924
142 34 0.99912673
142 50 0.92904186
142 61 0.995832
142 99 0.99698645
142 113 0.953689
142 165 0.97088057
142 224 0.96232224
142 233 0.9788785
142 257 0.9991357
142 289 0.99829906
142 318 0.9635328
142 327 0.9416057
142 408 0.9245037
142 427 0.9184017
142 431 0.9445902
142 461 0.9051627
142 497 0.9681635
142 569 0.93957454
142 989 0.9678274
142 1010 0.90061796
142 1019 0.9327496
142 1507 0.93991953
143 50 0.9353103
143 289 0.96144414
143 367 0.9605646
144 99 0.9981102
144 165 0.99511516
144 233 0.9645711
144 279 0.9751648
144 323 0.99980575
144 328 0.9307681
144 431 0.9662942
144 535 0.92100495
144 697 0.96627206
144 988 0.9881982
144 1061 0.97667027
145 46 0.9781939
145 49 0.917344
145 50 0.994062
145 99 0.9916991
145 122 0.9190877
145 125 0.98821855
145 140 0.91335493
145 151 0.97058445
145 165 0.91237587
145 166 0.90427196
145 195 0.9111279
145 233 0.9790565
145 244 0.9435948
145 280 0.9842794
145 289 0.99926335
145 310 0.9955745
145 329 0.9326001
145 359 0.92323923
145 408 0.98892176
145 427 0.9804125
145 443 0.90185654
145 671 0.9545694
145 859 0.91397333
145 923 0.99433124
146 27 0.9966356
146 84 0.93505037
146 109 0.9598705
146 165 0.9933149
146 176 0.91917187
146 279 0.95302963
146 289 0.96556485
146 303 0.9695021
146 359 0.94242895
146 431 0.9549315
146 461 0.9275643
146 462 0.998771
147 59 0.9884134
147 195 0.9852915
147 395 0.91614336
147 460 0.99879336
148 27 0.9651523
148 323 0.9880421
149 122 0.9456821
149 140 0.9144312
149 151 0.9822015
149 244 0.9813959
149 279 0.98725015
149 359 0.994826
149 367 0.9584879
149 460 0.94279486
149 461 0.9975147
149 547 0.97692114
149 990 0.94290763
150 50 0.9427456
151 151 0.91010696
151 165 0.9655956
151 195 0.95187396
151 323 0.9172225
151 367 0.9793408
151 429 0.9702551
151 697 0.94183755
152 13 0.9928423
152 50 0.9949049
152 85 0.91117936
152 100 0.9912581
152 165 0.915159
152 166 0.9342827
152 222 0.994643
152 247 0.9964246
152 257 0.9990796
152 279 0.9981427
152 289 0.99414283
152 323 0.9398746
152 331 0.92351305
152 369 0.9609631
152 375 0.9439003
152 395 0.97560865
152 424 0.9180157
152 427 0.9444804
152 436 0.9996202
152 462 0.99212015
152 1168 0.9479415
152 1169 0.9649307
152 1171 0.9752387
153 50 0.99948895
153 151 0.98205596
153 279 0.9712078
154 27 0.96319026
154 68 0.998292
154 120 0.9953597
154 165 0.9277647
154 310 0.99855334
154 436 0.9941461
154 460 0.995826
154 461 0.9342103
155 99 0.9332927
155 151 0.9600809
155 165 0.98095644
155 184 0.935379
155 323 0.9996276
155 697 0.9272722
155 989 0.9964514
155 999 0.9013854
157 27 0.93842226
157 120 0.91295075
157 140 0.9763496
157 224 0.97611976
157 274 0.99125165
157 312 0.96756214
157 318 0.94102454
157 375 0.92961377
157 427 0.97062564
157 436 0.9988186
157 462 0.95645124
157 989 0.9598401
159 3 0.97738826
159 50 0.9881428
159 99 0.9958866
159 109 0.97742563
159 140 0.970346
159 151 0.98633933
159 279 0.97325814
159 289 0.975177
159 303 0.9931379
159 310 0.9750611
159 327 0.92351985
159 329 0.9989863
159 363 0.9933711
159 381 0.96417844
159 395 0.9460064
159 427 0.9546403
159 461 0.94102824
159 462 0.9316212
159 1169 0.9563375
161 11 0.93046314
161 84 0.9710207
161 99 0.96467507
161 116 0.9554649
161 151 0.9834458
161 165 0.9877857
161 279 0.9890077
161 436 0.967788
161 460 0.9949852
161 461 0.90428376
161 1171 0.934559
162 27 0.95318353
162 50 0.9527683
162 140 0.96847355
162 195 0.9890155
162 224 0.95224994
163 11 0.9218358
163 460 0.91286314
164 11 0.9925916
164 165 0.97183853
164 994 0.9801404
165 11 0.99446917
165 120 0.90792716
165 151 0.9929507
165 165 0.9968548
165 195 0.98838055
165 327 0.9357112
165 363 0.9728836
165 381 0.93217266
166 11 0.90822196
166 27 0.9369481
166 61 0.97262514
166 74 0.90865856
166 113 0.97925305
166 120 0.98572135
166 151 0.922082
166 176 0.9640211
166 195 0.92432487
166 224 0.9874299
166 242 0.9775814
166 290 0.9404023
166 327 0.9989748
166 375 0.9008505
166 429 0.9457945
166 460 0.99880147
166 855 0.94395
166 1152 0.90458614
166 1203 0.94068253
167 50 0.9680599
168 50 0.99838746
168 151 0.9100648
168 289 0.9888614
168 395 0.9886651
169 13 0.99938655
169 50 0.91626704
169 68 0.9943452
169 140 0.9897691
169 151 0.9104034
169 165 0.999054
169 222 0.90831786
169 224 0.99841654
169 257 0.9998399
169 310 0.9836686
169 436 0.9807515
169 460 0.99789655
169 498 0.9657358
170 7 0.90766007
170 11 0.98191607
170 27 0.98294926
170 165 0.91101253
170 323 0.926549
170 329 0.9845256
171 27 0.93782127
171 50 0.99853706
171 140 0.9917263
171 257 0.98776513
171 274 0.9987123
171 303 0.983144
171 323 0.9085016
171 329 0.99612707
171 436 0.98527205
171 562 0.93217665
171 1169 0.95906764
171 1170 0.93004555
171 1171 0.9996774
172 165 0.9744052
